target,feature,category,n,pearson_r,p_raw,ci_lo,ci_hi,q_fdr
MEMORY_ST_NORM_WorMem,BASIC_Q_EHI_Sum,Q,425,0.03990784287233165,0.4118598103067909,-0.05542539782555827,0.13452002278194258,0.5268710188771419
MEMORY_ST_NORM_WorMem,BASIC_Q_IPAQ_MET,Q,425,0.06553468607657785,0.1774966106298084,-0.029773756642315498,0.1596622142569123,0.26893425853001274
MEMORY_ST_NORM_WorMem,BASIC_Q_MOCA_SUM,Q,425,-0.16161721352424196,0.0008257346827382724,-0.25285282143991655,-0.06753258721606402,0.0017202805890380677
MEMORY_ST_NORM_WorMem,BASIC_Q_MSPSS_Sum,Q,425,-0.04921635008239363,0.31142027706891373,-0.14366659842150928,0.04612241428649615,0.42660311927248457
MEMORY_ST_NORM_WorMem,BASIC_Q_PSQI_DaytimeDysfunc,Q,425,-0.07723363872967569,0.11185769039632674,-0.17109946295943113,0.01802159796132168,0.17477764124426054
MEMORY_ST_NORM_WorMem,BASIC_Q_PSQI_SleepDisturbance,Q,425,0.03938308308849243,0.41804013652522753,-0.05594935381977048,0.13400391125841518,0.5268710188771419
MEMORY_ST_NORM_WorMem,BASIC_Q_PSQI_SleepDuration,Q,425,0.056429822557842846,0.24571122332037282,-0.038901831049337705,0.15074350459760125,0.3412655879449622
MEMORY_ST_NORM_WorMem,BASIC_Q_PSQI_SleepEfficiency,Q,425,0.010322488647979194,0.8319646847048808,-0.08488369675413573,0.10534189070637962,0.848943555821307
MEMORY_ST_NORM_WorMem,BASIC_Q_PSQI_SleepLatency,Q,425,-0.023048339538437004,0.6356302438500464,-0.11791266277584374,0.07223286321129298,0.6909024389674417
MEMORY_ST_NORM_WorMem,BASIC_Q_PSQI_SleepMedication,Q,425,0.07992878461062825,0.09985545655747996,-0.015310459346011534,0.1737307383582106,0.15850072469441265
MEMORY_ST_NORM_WorMem,BASIC_Q_PSQI_SleepQuality,Q,423,-0.09425678122800929,0.05272652250062351,-0.1879156321403014,0.0011007915460335253,0.08643692213216969
MEMORY_ST_NORM_WorMem,BASIC_Q_PSQI_Sum,Q,425,0.001890534401683048,0.9690023156602893,-0.09324907258423247,0.09699592905876862,0.9722944732538132
MEMORY_ST_NORM_WorMem,BASIC_Q_SF36_EmotionalLimit,Q,425,0.0981483348675305,0.04314479525726771,0.003054009829980354,0.1914834546956381,0.07323812058810256
MEMORY_ST_NORM_WorMem,BASIC_Q_SF36_EmotionalWell,Q,425,0.14774793674532427,0.002260327835999624,0.05337524555643898,0.2395047264237066,0.0044320153647051455
MEMORY_ST_NORM_WorMem,BASIC_Q_SF36_Energy,Q,425,0.21346444997928543,9.038258885310798e-06,0.12079438379832082,0.30244601721281184,3.012752961770266e-05
MEMORY_ST_NORM_WorMem,BASIC_Q_SF36_GeneralHealth,Q,425,0.025199725479706104,0.6044178754367306,-0.07009112553807557,0.12003483138447099,0.6791212083558772
MEMORY_ST_NORM_WorMem,BASIC_Q_SF36_Mental,Q,425,0.16785969230176903,0.0005108299418005366,0.0739171105360135,0.2588494064185907,0.001160977140455765
MEMORY_ST_NORM_WorMem,BASIC_Q_SF36_Pain,Q,425,-0.035339500071309225,0.4674564605581688,-0.1300252457720238,0.05998498278446698,0.5632005548893599
MEMORY_ST_NORM_WorMem,BASIC_Q_SF36_Physical,Q,425,-0.03909156880530149,0.42149681510171355,-0.13371717907281291,0.056240398897474855,0.5268710188771419
MEMORY_ST_NORM_WorMem,BASIC_Q_SF36_PhysicalFunct,Q,424,-0.13071640136399737,0.007033733163085716,-0.22317322571016535,-0.03592860917779683,0.013271194647331539
MEMORY_ST_NORM_WorMem,BASIC_Q_SF36_PhysicalLimit,Q,425,-0.001689661986453144,0.9722944732538134,-0.09679694198079251,0.09344819524183516,0.9722944732538132
MEMORY_ST_NORM_WorMem,BASIC_Q_SF36_SocialFunc,Q,425,0.06438444508611774,0.18524246298748534,-0.030927807868643124,0.15853633792984964,0.27241538674630195
MEMORY_ST_NORM_WorMem,LANGUAGE_ST_RAW_SIMILARITY,ST,425,-0.1638943361623099,0.0006944022271561469,-0.25504105970588925,-0.06986063228477099,0.001509570061422416
MEMORY_ST_NORM_WorMem,LANGUAGE_ST_RAW_VOCABULARY,ST,425,0.017302209144356227,0.7220875027877631,-0.07794891965968863,0.1122403178005021,0.7521744820705866
MEMORY_ST_NORM_WorMem,LANGUAGE_ST_RAW_INFORMATION,ST,425,-0.027080352623406457,0.5777094099615874,-0.12188920862471705,0.06821821248814153,0.6564879658942979
MEMORY_ST_NORM_WorMem,LANGUAGE_ST_RAW_SUM,ST,425,-0.04779895023943772,0.32557769778574847,-0.14227489647982802,0.047540041204382565,0.43996986187263304
