level,target,feature,category,n,pearson_r,p_raw,ci_lo,ci_hi,q_fdr
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_NORM_PR,ST,427,-0.33152079486485503,2.0616650262406724e-12,-0.4134138835054273,-0.24430741658656596,7.322465438027215e-12
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_NORM_AudImm,ST,425,-0.2239418413602454,3.125003764957881e-06,-0.3124097321466193,-0.13162283100025865,5.852279778012031e-06
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_NORM_VisImm,ST,425,-0.34159912668804415,4.472100597899977e-13,-0.4229777760376216,-0.25475424230703775,1.7716398522449908e-12
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_NORM_ImmMem,ST,425,-0.32475682159363417,6.781302964584315e-12,-0.4072975099935802,-0.23695391454000903,2.1165885010672254e-11
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_NORM_WorMem,ST,425,-0.07818746942973467,0.10748660746175706,-0.17203084256425102,0.01706226744215937,0.14567263906001285
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_SCALED_AudImm,ST,425,0.4026496739420411,5.378614663259793e-18,0.31977457982814356,0.47941052312206844,3.077762835087548e-17
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_SCALED_VisImm,ST,425,0.33496195213610896,1.3319228016693806e-12,0.24773249894099522,0.4168043482217289,4.899573163283793e-12
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_SCALED_ImmMem,ST,425,0.41648159211200914,2.9230032401245426e-19,0.3346151739179307,0.4921086069999911,2.150495240948771e-18
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_SCALED_WorMem,ST,425,0.4994776638745779,3.3600665858067897e-28,0.4245247317576943,0.5676313524707592,8.652171458452484e-27
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_RAW_ImmMem,ST,425,0.41181722233222334,7.923933783850331e-19,0.32960611852798893,0.48783017973258164,5.441101198243894e-18
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_RAW_LogMemI,ST,425,0.32011057875501586,1.3946290478970831e-11,0.23205373709433708,0.40296325521817666,3.780178735089462e-11
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_RAW_FacI,ST,425,0.3236231835463765,8.094939560850683e-12,0.23575790674791622,0.4062403367924106,2.382225072320198e-11
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_RAW_VerPairI,ST,425,0.3757981247160123,1.0546918173788748e-15,0.29108053834750125,0.4546679543368277,4.937875326819278e-15
