level,target,feature,category,n,pearson_r,p_raw,ci_lo,ci_hi,q_fdr
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_PSQI_SleepEfficiency,Q,422,0.010647912464273677,0.8273561836221535,-0.08489908416509023,0.10600086746693756,0.8760241944234567
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_PSQI_SleepLatency,Q,422,0.07874184005398524,0.10625092080386467,-0.016845483600650808,0.17290287252538206,0.25840973990397154
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_PSQI_SleepMedication,Q,422,-0.0658289637202447,0.17709492834369986,-0.16028243657533606,0.029819122345279187,0.28979170092605433
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_PSQI_SleepQuality,Q,422,0.07246405215944433,0.1372416247917762,-0.023156834877471718,0.1667711184349863,0.25886679027660603
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_PSQI_Sum,Q,422,0.1180323084457063,0.015266738946145369,0.022828830736568616,0.2111142897569154,0.08082391206782842
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_SF36_EmotionalLimit,Q,422,-0.03913970574485424,0.42257881969805644,-0.1340993701148124,0.05653221613026966,0.49392329575097504
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_SF36_EmotionalWell,Q,422,-0.14434308116921526,0.0029589459505420276,-0.2365444143575479,-0.04956534627098456,0.02219209462906521
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_SF36_Energy,Q,422,-0.14699768163110452,0.0024681081858578635,-0.23910316640258372,-0.05227046669500569,0.020193612429746155
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_SF36_GeneralHealth,Q,422,-0.11418755152963166,0.018953951630450404,-0.20738763875514843,-0.018933231427461714,0.09476975815225203
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_SF36_Mental,Q,422,-0.11267432414409463,0.02060531247821662,-0.20592015351793583,-0.017400786130240244,0.09760411173892083
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_SF36_Pain,Q,422,-0.034881631402013634,0.4748235860827774,-0.12990975500248983,0.06078146056826308,0.5353925620240028
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_SF36_Physical,Q,422,-0.06733099040602183,0.16739561162563538,-0.16175203544787106,0.028311682243797955,0.28979170092605433
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_SF36_PhysicalFunct,Q,422,-0.0051074744657763314,0.9166849025206744,-0.1005191653765504,0.09039730026682329,0.9166849025206745
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_SF36_PhysicalLimit,Q,422,-0.03770091673905023,0.43984572335366084,-0.13268409288366215,0.05796840935631855,0.507514296177301
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_SF36_SocialFunc,Q,422,-0.0409667018393883,0.4012334422077365,-0.13589595251793352,0.054707945418086615,0.47901258645218425
NORM,MOTOR_ST_NORM_PegboardAssemble,LANGUAGE_ST_RAW_SIMILARITY,ST,422,-0.05752330555485519,0.23833764481254763,-0.15214852562904901,0.03814686744276312,0.3459740005796364
NORM,MOTOR_ST_NORM_PegboardAssemble,LANGUAGE_ST_RAW_VOCABULARY,ST,422,-0.04370583553007036,0.3704674461926348,-0.1385883191223981,0.05197170060787953,0.47544864425157907
NORM,MOTOR_ST_NORM_PegboardAssemble,LANGUAGE_ST_RAW_INFORMATION,ST,422,0.05980866669319392,0.2201680582326737,-0.03585675338296821,0.15438790823413434,0.3416400903610454
NORM,MOTOR_ST_NORM_PegboardAssemble,LANGUAGE_ST_RAW_SUM,ST,422,-0.021345449558785184,0.6619365402647626,-0.11656862366604921,0.074266580200117,0.7265157149247394
NORM,MOTOR_ST_NORM_PegboardAssemble,LANGUAGE_ST_SCALED_SIMILARITY,ST,422,-0.057523305551038205,0.23833764484374953,-0.152148525625308,0.038146867446587206,0.3459740005796364
NORM,MOTOR_ST_NORM_PegboardAssemble,LANGUAGE_ST_SCALED_VOCABULARY,ST,422,-0.04370583552115476,0.37046744629033684,-0.138588319113637,0.05197170061678806,0.47544864425157907
NORM,MOTOR_ST_NORM_PegboardAssemble,LANGUAGE_ST_SCALED_INFORMATION,ST,422,0.05980866669357768,0.22016805822970698,-0.035856753382583574,0.1543879082345103,0.3416400903610454
NORM,MOTOR_ST_NORM_PegboardAssemble,LANGUAGE_ST_SCALED_SUM,ST,422,-0.005717958205553493,0.9067693204480647,-0.10112346129122518,0.08979175409757718,0.9166849025206745
NORM,MOTOR_ST_NORM_PegboardAssemble,LANGUAGE_ST_NORM_PR,ST,422,0.015373166592603836,0.7528472287176927,-0.08020523760596276,0.11067145290130423,0.8066220307689566
NORM,MOTOR_ST_NORM_PegboardAssemble,MEMORY_ST_NORM_ImmMem,ST,422,-0.0512158423183618,0.2938667095297282,-0.14596291534876665,0.04446223836467358,0.40402227020325654
NORM,MOTOR_ST_NORM_PegboardAssemble,MEMORY_ST_SCALED_AudImm,ST,422,-0.07537480215463044,0.1221034790222112,-0.16961506589036066,0.020231470324706465,0.25840973990397154
NORM,MOTOR_ST_NORM_PegboardAssemble,MEMORY_ST_SCALED_VisImm,ST,422,-0.054138843961399154,0.26714130642093814,-0.14883036931863602,0.041536522614248804,0.37566746215444424
NORM,MOTOR_ST_NORM_PegboardAssemble,MEMORY_ST_SCALED_ImmMem,ST,422,-0.07437058011340829,0.12717197461658145,-0.168634068343964,0.02124091945297389,0.25840973990397154
